,Open,High,Low,Close,Volume
2024-07-24 13:40:00,183.59,183.86,183.525,183.85,31950
2024-07-24 13:35:00,183.345,183.62,183.29,183.56,30232
2024-07-24 13:30:00,183.59,183.85,183.36,183.37,35960
2024-07-24 13:25:00,184.08,184.21,183.57,183.63,63141
2024-07-24 13:20:00,184.4,184.43,184.04,184.07,50040
2024-07-24 13:15:00,184.36,184.56,184.3,184.37,149542
2024-07-24 13:10:00,184.47,184.549,184.31,184.35,25077
2024-07-24 13:05:00,184.48,184.49,184.35,184.48,30617
2024-07-24 13:00:00,184.34,184.46,184.27,184.44,35399
2024-07-24 12:55:00,184.28,184.38,184.2,184.34,37523
2024-07-24 12:50:00,184.535,184.535,184.27,184.276,26228
2024-07-24 12:45:00,184.29,184.67,184.29,184.56,51610
2024-07-24 12:40:00,184.328,184.52,184.22,184.24,31977
2024-07-24 12:35:00,184.68,184.8,184.31,184.31,45317
2024-07-24 12:30:00,184.75,184.84,184.61,184.75,56666
2024-07-24 12:25:00,184.725,184.77,184.62,184.75,41161
2024-07-24 12:20:00,184.56,184.73,184.48,184.72,31684
2024-07-24 12:15:00,184.46,184.59,184.42,184.52,37326
2024-07-24 12:10:00,184.26,184.457,184.18,184.44,91942
2024-07-24 12:05:00,184.075,184.3,183.96,184.3,28508
2024-07-24 12:00:00,183.75,184.07,183.75,184.07,18379
2024-07-24 11:55:00,183.65,183.76,183.51,183.71,51170
2024-07-24 11:50:00,183.595,183.8,183.57,183.65,20271
2024-07-24 11:45:00,183.47,183.58,183.41,183.58,23206
2024-07-24 11:40:00,183.715,183.715,183.4,183.5,24203
